date,ticker,signal_return,rec_holding_days,buy,significance
2019-01-28,O,-2.39000000,2,false,83.28280000
2019-01-29,LBTY.A,-3.70000000,2,false,86.36890000
2019-01-29,NBTB,2.05000000,88,true,74.29500000
2019-01-29,ELY,-6.42000000,86,true,77.40720000
2019-01-29,FBM,-2.04000000,2,true,74.73210000
2019-01-29,CCOI,18.45000000,61,true,74.48420000
2019-01-29,LCI,13.30000000,6,true,74.90910000
2019-01-29,ELY,-5.10000000,81,true,70.60530000
2019-01-29,AUY,4.04000000,11,false,93.37720000
2019-01-29,AIMC,2.38000000,1,true,70.63480000
2019-01-29,BAM,-0.95000000,1,false,81.35110000
2019-01-29,ARA,-18.00000000,39,true,91.84540000
2019-01-29,SVMK,32.28000000,89,true,89.42820000
2019-01-29,URBN,-15.86000000,77,true,78.43720000
2019-01-29,FOSL,-0.57000000,1,true,84.06330000
2019-01-29,WTI,-0.40000000,2,false,70.33690000
2019-01-29,DX,0.50000000,1,true,84.71270000
2019-01-29,NH,-4.45000000,12,false,76.59830000
2019-01-29,EIG,-1.14000000,29,true,82.99720000
2019-01-29,JYNT,99.01000000,89,true,96.09020000
2019-01-29,GRUB,5.69000000,4,true,75.10430000
2019-01-29,TDG,-14.31000000,20,false,77.62250000
2019-01-29,NEXT,4.95000000,2,false,76.11820000
2019-01-29,ALRN,14.32000000,89,false,89.51250000
2019-01-29,ABEO,-2.01000000,1,false,72.51890000
2019-01-29,BRO,19.85000000,87,true,80.57410000
2019-01-29,FEYE,3.88000000,3,true,72.18310000
2019-01-29,KMX,33.41000000,79,true,80.53420000
2019-01-29,MGI,5.00000000,1,true,85.85560000
2019-01-29,NTGR,0.96000000,3,true,76.56380000
2019-01-29,CBAY,-5.81000000,4,false,97.35220000
2019-01-30,CPT,-0.60000000,3,false,73.05330000
2019-01-30,FNHC,-20.44000000,81,true,77.42270000
2019-01-30,AMSW.A,-0.99000000,3,false,71.40890000
2019-01-30,SITE,-1.22000000,1,true,82.21890000
2019-01-30,EPAY,7.44000000,9,false,74.90910000
2019-01-30,LTHM,-1.65000000,2,true,70.50780000
2019-01-30,LLY,-2.50000000,1,false,73.47190000
2019-01-30,CCRN,11.68000000,21,false,87.76000000
2019-01-30,LKQ,1.32000000,1,false,73.91300000
2019-01-30,OKTA,56.60000000,88,true,87.84090000
2019-01-30,MEDP,-3.35000000,5,false,73.48130000
2019-01-30,HOG,-2.60000000,15,false,82.55780000
2019-01-30,VALP.Q,1.12000000,2,false,73.49550000
2019-01-30,MRTX,11.23000000,20,true,89.92570000
2019-01-30,PII,-2.60000000,12,false,87.04320000
2019-01-30,USAS,-1.14000000,1,false,88.10930000
2019-01-30,VNRX,-14.17000000,4,false,74.72730000
2019-01-30,MNOV,-6.20000000,1,false,74.58290000
2019-01-30,PAAS,1.05000000,6,false,70.48670000
2019-01-30,MCRB,-8.65000000,30,false,74.90910000
2019-01-30,QTS,-9.93000000,50,false,72.58600000
2019-01-31,EXAS,22.46000000,89,true,79.93870000
2019-01-31,RLGY,58.31000000,79,false,92.68520000
2019-01-31,ATZ,-2.29000000,2,false,85.80550000
2019-01-31,ASLN,-22.29000000,31,false,82.65420000
2019-01-31,FULT,0.75000000,1,true,74.36630000
2019-01-31,EGOV,-0.43000000,23,false,83.24040000
2019-01-31,COG,4.93000000,5,false,75.64000000
2019-01-31,UNTY,-1.11000000,1,true,74.33480000
2019-01-31,OVID,38.16000000,73,false,84.55870000
